"notification_id","notification_type","title","content","image_url","is_read","receiver_id","sender_id","created_at","device_type"
396,2,강습이 예약되었습니다,"{""lessonDate"":""2024-05-15"",""lessonTime"":""14:00 ~ 18:00"",""resortName"":""승호리조트"",""studentCount"":""3"",""lessonType"":""스키"",""studentInfos"":[{""height"":""HEIGHT_UNDER_140CM"",""weight"":""WEIGHT_UNDER_40KG"",""footSize"":270,""age"":""PRESCHOOL_CHILD"",""gender"":""MALE"",""name"":""장승호""},{""height"":""HEIGHT_UNDER_140CM"",""weight"":""WEIGHT_UNDER_40KG"",""footSize"":270,""age"":""PRESCHOOL_CHILD"",""gender"":""MALE"",""name"":""고트승민""},{""height"":""HEIGHT_UNDER_140CM"",""weight"":""WEIGHT_UNDER_40KG"",""footSize"":270,""age"":""PRESCHOOL_CHILD"",""gender"":""MALE"",""name"":""최민호""}]}",,1,14,,"2024-05-09 10:14:53.645579",MOBILE
397,2,강습이 예약되었습니다,"{""lessonDate"":""2024-05-15"",""lessonTime"":""14:00 ~ 18:00"",""resortName"":""승호리조트"",""studentCount"":""3"",""lessonType"":""스키"",""studentInfos"":[{""height"":""HEIGHT_UNDER_140CM"",""weight"":""WEIGHT_UNDER_40KG"",""footSize"":270,""age"":""PRESCHOOL_CHILD"",""gender"":""MALE"",""name"":""장승호""},{""height"":""HEIGHT_UNDER_140CM"",""weight"":""WEIGHT_UNDER_40KG"",""footSize"":270,""age"":""PRESCHOOL_CHILD"",""gender"":""MALE"",""name"":""고트승민""},{""height"":""HEIGHT_UNDER_140CM"",""weight"":""WEIGHT_UNDER_40KG"",""footSize"":270,""age"":""PRESCHOOL_CHILD"",""gender"":""MALE"",""name"":""최민호""}]}",,1,14,,"2024-05-09 10:14:53.646578",MOBILE
398,9,다시 보낸 쪽지,다시 보낸 쪽지 내용,,1,35,14,"2024-05-09 16:54:48.643023",MOBILE
399,9,집 보내줘,let me go home,,1,37,14,"2024-05-09 17:41:55.095405",MOBILE
400,9,집 보내줘,let me go home,https://go-ski.s3.ap-northeast-2.amazonaws.com/notification/f8661290-7b29-445e-ab30-5072397abb73.png,1,37,14,"2024-05-09 17:42:08.427062",MOBILE
402,9,집 보내줘,let me go home,https://go-ski.s3.ap-northeast-2.amazonaws.com/notification/25bf55a5-7e0b-4112-899c-c01ab300e278.png,1,37,14,"2024-05-09 17:42:50.288877",MOBILE
403,9,집 보내줘,let me go home,https://go-ski.s3.ap-northeast-2.amazonaws.com/notification/45627ac5-1dc0-4a55-b5c0-589c477c7c3c.png,1,37,14,"2024-05-09 17:42:58.921925",MOBILE
404,6, 강습 예약 1시간 전입니다,"{""lessonDate"":""2024-05-09"",""lessonTime"":""12:00 ~ 18:00""}",,0,24,,"2024-05-10 10:30:00.012992",MOBILE
405,6, 강습 예약 1시간 전입니다,"{""lessonDate"":""2024-05-09"",""lessonTime"":""12:00 ~ 18:00""}",,1,14,,"2024-05-10 10:30:00.025839",MOBILE
406,6, 강습 예약 1시간 전입니다,"{""lessonDate"":""2024-05-09"",""lessonTime"":""12:00 ~ 18:00""}",,0,24,,"2024-05-10 11:00:00.012438",MOBILE
407,6, 강습 예약 1시간 전입니다,"{""lessonDate"":""2024-05-09"",""lessonTime"":""12:00 ~ 18:00""}",,1,14,,"2024-05-10 11:00:00.018145",MOBILE
435,6, 강습 예약 1시간 전입니다,"{""lessonDate"":""2024-05-13"",""lessonTime"":""14:00 ~ 18:00""}",,0,24,,"2024-05-13 12:30:00.019564",MOBILE
436,6, 강습 예약 1시간 전입니다,"{""lessonDate"":""2024-05-13"",""lessonTime"":""14:00 ~ 18:00""}",,1,14,,"2024-05-13 12:30:00.031533",MOBILE
437,6, 강습 예약 1시간 전입니다,"{""lessonDate"":""2024-05-13"",""lessonTime"":""14:00 ~ 18:00""}",,0,24,,"2024-05-13 13:00:00.018401",MOBILE
438,6, 강습 예약 1시간 전입니다,"{""lessonDate"":""2024-05-13"",""lessonTime"":""14:00 ~ 18:00""}",,1,14,,"2024-05-13 13:00:00.024157",MOBILE
441,2,강습이 예약되었습니다,"{""lessonId"":165}",,0,113,,"2024-05-13 17:02:09.785530",MOBILE
443,9,혹시 다시 한 번 결제가능...?,please,,1,35,14,"2024-05-13 17:08:42.702342",MOBILE
447,7,강습이 예약되었습니다,"{""detail"":""5월 14일 14시 00분 지산리조트\n1:1 강습이 예약되었습니다"",""lessonDate"":""2024-05-14"",""lessonTime"":""14:00 ~ 16:00"",""resortName"":""지산리조트"",""studentCount"":""1"",""lessonType"":""스키""}",,1,35,,"2024-05-13 17:13:16.411594",MOBILE
455,6, 강습 예약 30분 전입니다,"{""lessonDate"":""2024-05-14"",""lessonTime"":""09:00 ~ 13:00""}",,1,14,,"2024-05-14 08:30:00.313616",MOBILE
456,8,카리나 강사로부터 피드백이 등록되었습니다.,"{""lessonId"":111}",,1,34,,"2024-05-14 08:51:35.593012",MOBILE
457,8,카리나 강사로부터 피드백이 등록되었습니다.,"{""lessonId"":148}",,1,35,,"2024-05-14 08:53:21.630318",MOBILE
458,8,민지 강사로부터 피드백이 등록되었습니다.,"{""lessonId"":150}",,1,35,,"2024-05-14 08:54:05.801564",MOBILE
475,9,새벽 3시 네 생각에 지쳐 담밸 피다,맘에 밟힌 머리끈 너 없는 차가운 이 밤,,1,35,14,"2024-05-14 10:16:33.047082",MOBILE
488,7,강습이 예약되었습니다,"{""detail"":""5월 14일 08시 00분 휘닉스 파크\n1:1 강습이 예약되었습니다"",""lessonDate"":""2024-05-14"",""lessonTime"":""08:00 ~ 9:00"",""resortName"":""휘닉스 파크"",""studentCount"":""1"",""lessonType"":""스키""}",,1,37,,"2024-05-14 10:42:23.291851",MOBILE
497,9,사진이 포함된 dm 제목3,사진이 포함된 dm3,https://go-ski.s3.ap-northeast-2.amazonaws.com/notification/580aaf2a-09ea-41f2-806c-4b6e50e79ad8.png,1,34,14,"2024-05-14 11:20:17.566018",MOBILE
507,9,사진이 포함된 dm 제목 1111,사진이 포함된 11111,https://go-ski.s3.ap-northeast-2.amazonaws.com/notification/cbbbfe7e-ef02-4b59-bcee-cce3c40ae12f.png,1,34,14,"2024-05-14 13:01:40.362629",MOBILE
508,6, 강습 예약 30분 전입니다,"{""lessonDate"":""2024-05-14"",""lessonTime"":""14:00 ~ 16:00""}",,0,120,,"2024-05-14 13:30:00.011650",MOBILE
509,6, 강습 예약 30분 전입니다,"{""lessonDate"":""2024-05-14"",""lessonTime"":""14:00 ~ 16:00""}",,0,120,,"2024-05-14 13:30:00.078500",MOBILE
512,7,강습이 예약되었습니다,"{""detail"":""5월 14일 08시 00분 휘닉스 파크\n1:1 강습이 예약되었습니다"",""lessonDate"":""2024-05-14"",""lessonTime"":""08:00 ~ 9:00"",""resortName"":""휘닉스 파크"",""studentCount"":""1"",""lessonType"":""스키""}",,1,37,,"2024-05-14 13:51:38.164820",MOBILE
516,7,강습이 예약되었습니다,"{""detail"":""5월 15일 08시 00분 휘닉스 파크\n1:1 강습이 예약되었습니다"",""lessonDate"":""2024-05-15"",""lessonTime"":""08:00 ~ 9:00"",""resortName"":""휘닉스 파크"",""studentCount"":""1"",""lessonType"":""스키""}",,1,34,,"2024-05-14 14:40:37.623569",MOBILE
519,7,강습이 예약되었습니다,"{""detail"":""5월 15일 13시 00분 지산리조트\n1:1 강습이 예약되었습니다"",""lessonDate"":""2024-05-15"",""lessonTime"":""13:00 ~ 15:00"",""resortName"":""지산리조트"",""studentCount"":""1"",""lessonType"":""스키""}",,1,34,,"2024-05-14 14:41:48.169598",MOBILE
522,7,강습이 예약되었습니다,"{""detail"":""5월 16일 13시 00분 곤지암리조트\n1:1 강습이 예약되었습니다"",""lessonDate"":""2024-05-16"",""lessonTime"":""13:00 ~ 16:00"",""resortName"":""곤지암리조트"",""studentCount"":""1"",""lessonType"":""스키""}",,1,34,,"2024-05-14 14:43:22.929585",MOBILE
528,7,강습이 예약되었습니다,"{""detail"":""5월 18일 10시 00분 휘닉스 파크\n1:1 강습이 예약되었습니다"",""lessonDate"":""2024-05-18"",""lessonTime"":""10:00 ~ 11:00"",""resortName"":""휘닉스 파크"",""studentCount"":""1"",""lessonType"":""스키""}",,1,34,,"2024-05-14 14:47:49.942210",MOBILE
531,7,강습이 예약되었습니다,"{""detail"":""5월 19일 09시 00분 지산리조트\n1:1 강습이 예약되었습니다"",""lessonDate"":""2024-05-19"",""lessonTime"":""09:00 ~ 11:00"",""resortName"":""지산리조트"",""studentCount"":""1"",""lessonType"":""스키""}",,1,34,,"2024-05-14 14:49:18.936159",MOBILE
532,9,사진이 포함된 dm 제목 1111,사진이 포함된 11111,https://go-ski.s3.ap-northeast-2.amazonaws.com/notification/5a85b20e-8b18-4455-8a3c-f84be40d40ab.png,1,34,14,"2024-05-14 14:51:34.732689",MOBILE
533,9,사진이 포함된 dm 제목 1111,사진이 포함된 11111,https://go-ski.s3.ap-northeast-2.amazonaws.com/notification/54d2d6b8-bfac-4c4a-9a77-8dfaff3f99c1.png,1,34,14,"2024-05-14 14:52:47.703735",MOBILE
534,9,사진이 포함된 dm 제목11111,사진이 포함된 22222,https://go-ski.s3.ap-northeast-2.amazonaws.com/notification/c92809b1-b99a-407d-a08a-0d51cc0e53dd.png,1,34,14,"2024-05-14 14:53:21.107877",MOBILE
537,7,강습이 예약되었습니다,"{""detail"":""5월 21일 09시 00분 휘닉스 파크\n1:1 강습이 예약되었습니다"",""lessonDate"":""2024-05-21"",""lessonTime"":""09:00 ~ 14:00"",""resortName"":""휘닉스 파크"",""studentCount"":""1"",""lessonType"":""스키""}",,1,34,,"2024-05-14 14:59:04.142887",MOBILE
540,7,강습이 예약되었습니다,"{""detail"":""5월 22일 10시 00분 곤지암리조트\n1:1 강습이 예약되었습니다"",""lessonDate"":""2024-05-22"",""lessonTime"":""10:00 ~ 13:00"",""resortName"":""곤지암리조트"",""studentCount"":""1"",""lessonType"":""스키""}",,1,34,,"2024-05-14 15:01:30.060311",MOBILE
543,7,강습이 예약되었습니다,"{""detail"":""5월 24일 12시 00분 지산리조트\n1:1 강습이 예약되었습니다"",""lessonDate"":""2024-05-24"",""lessonTime"":""12:00 ~ 15:00"",""resortName"":""지산리조트"",""studentCount"":""1"",""lessonType"":""스키""}",,1,34,,"2024-05-14 15:03:04.495593",MOBILE
546,7,강습이 예약되었습니다,"{""detail"":""5월 25일 10시 00분 곤지암리조트\n1:1 강습이 예약되었습니다"",""lessonDate"":""2024-05-25"",""lessonTime"":""10:00 ~ 12:00"",""resortName"":""곤지암리조트"",""studentCount"":""1"",""lessonType"":""스키""}",,1,34,,"2024-05-14 15:08:32.808792",MOBILE
549,7,강습이 예약되었습니다,"{""detail"":""5월 26일 09시 00분 휘닉스 파크\n1:1 강습이 예약되었습니다"",""lessonDate"":""2024-05-26"",""lessonTime"":""09:00 ~ 14:00"",""resortName"":""휘닉스 파크"",""studentCount"":""1"",""lessonType"":""스키""}",,1,34,,"2024-05-14 15:14:00.060178",MOBILE
552,7,강습이 예약되었습니다,"{""detail"":""5월 27일 10시 00분 곤지암리조트\n1:1 강습이 예약되었습니다"",""lessonDate"":""2024-05-27"",""lessonTime"":""10:00 ~ 13:00"",""resortName"":""곤지암리조트"",""studentCount"":""1"",""lessonType"":""스키""}",,1,34,,"2024-05-14 15:14:58.949972",MOBILE
555,7,강습이 예약되었습니다,"{""detail"":""5월 23일 16시 00분 지산리조트\n1:1 강습이 예약되었습니다"",""lessonDate"":""2024-05-23"",""lessonTime"":""16:00 ~ 19:00"",""resortName"":""지산리조트"",""studentCount"":""1"",""lessonType"":""스키""}",,1,34,,"2024-05-14 15:17:10.429541",MOBILE
558,7,강습이 예약되었습니다,"{""detail"":""5월 26일 08시 00분 휘닉스 파크\n1:1 강습이 예약되었습니다"",""lessonDate"":""2024-05-26"",""lessonTime"":""08:00 ~ 9:00"",""resortName"":""휘닉스 파크"",""studentCount"":""1"",""lessonType"":""스키""}",,1,37,,"2024-05-14 16:56:37.673550",MOBILE
559,8,준석 강사로부터 피드백이 등록되었습니다.,"{""lessonId"":64}",,1,37,,"2024-05-14 17:56:59.846171",MOBILE
560,8,준석 강사로부터 피드백이 등록되었습니다.,"{""lessonId"":64}",,1,37,,"2024-05-14 17:57:20.421571",MOBILE
561,8,준석 강사로부터 피드백이 등록되었습니다.,"{""lessonId"":64}",,1,37,,"2024-05-14 17:58:32.155908",MOBILE
564,7,강습이 예약되었습니다,"{""detail"":""5월 15일 10시 00분 지산리조트\n1:2 강습이 예약되었습니다"",""lessonDate"":""2024-05-15"",""lessonTime"":""10:00 ~ 12:00"",""resortName"":""지산리조트"",""studentCount"":""2"",""lessonType"":""스키""}",,1,15,,"2024-05-14 17:59:17.527899",MOBILE
565,8,준석 강사로부터 피드백이 등록되었습니다.,"{""lessonId"":82}",,1,37,,"2024-05-14 17:59:31.498789",MOBILE
570,8,민지 강사로부터 피드백이 등록되었습니다.,"{""lessonId"":63}",,1,37,,"2024-05-14 23:03:33.766191",MOBILE
571,8,준석 강사로부터 피드백이 등록되었습니다.,"{""lessonId"":64}",,1,37,,"2024-05-14 23:04:01.278810",MOBILE
572,8,장원영 강사로부터 피드백이 등록되었습니다.,"{""lessonId"":68}",,1,37,,"2024-05-14 23:05:09.780320",MOBILE
573,8,가을 강사로부터 피드백이 등록되었습니다.,"{""lessonId"":85}",,1,37,,"2024-05-14 23:05:41.429301",MOBILE
574,8,카리나 강사로부터 피드백이 등록되었습니다.,"{""lessonId"":97}",,1,14,,"2024-05-14 23:47:58.923816",MOBILE
575,8,윈터 강사로부터 피드백이 등록되었습니다.,"{""lessonId"":100}",,1,14,,"2024-05-14 23:49:37.152185",MOBILE
576,8,닝닝 강사로부터 피드백이 등록되었습니다.,"{""lessonId"":101}",,1,14,,"2024-05-14 23:50:04.423028",MOBILE
577,8,지젤 강사로부터 피드백이 등록되었습니다.,"{""lessonId"":104}",,1,14,,"2024-05-14 23:50:23.215526",MOBILE
578,8,선생님 강사로부터 피드백이 등록되었습니다.,"{""lessonId"":105}",,1,37,,"2024-05-14 23:50:47.306278",MOBILE
579,8,선생님 강사로부터 피드백이 등록되었습니다.,"{""lessonId"":106}",,1,14,,"2024-05-14 23:51:25.829711",MOBILE
580,8,민지 강사로부터 피드백이 등록되었습니다.,"{""lessonId"":107}",,1,37,,"2024-05-14 23:53:14.887698",MOBILE
581,8,해린 강사로부터 피드백이 등록되었습니다.,"{""lessonId"":109}",,1,37,,"2024-05-14 23:54:04.879915",MOBILE
582,8,혜인 강사로부터 피드백이 등록되었습니다.,"{""lessonId"":110}",,1,34,,"2024-05-14 23:54:17.395994",MOBILE
583,6, 강습 예약 30분 전입니다,"{""lessonDate"":""2024-05-14"",""lessonTime"":""08:00 ~ 9:00""}",,0,73,,"2024-05-15 07:30:00.014226",MOBILE
588,7,강습이 예약되었습니다,"{""detail"":""5월 16일 08시 00분 지산리조트\n1:2 강습이 예약되었습니다"",""lessonDate"":""2024-05-16"",""lessonTime"":""08:00 ~ 10:00"",""resortName"":""지산리조트"",""studentCount"":""2"",""lessonType"":""스키""}",,1,37,,"2024-05-15 12:55:38.781275",MOBILE
591,7,강습이 예약되었습니다,"{""detail"":""5월 16일 08시 00분 지산리조트\n1:4 강습이 예약되었습니다"",""lessonDate"":""2024-05-16"",""lessonTime"":""08:00 ~ 14:00"",""resortName"":""지산리조트"",""studentCount"":""4"",""lessonType"":""스키""}",,1,37,,"2024-05-15 12:56:29.704120",MOBILE
592,6, 강습 예약 30분 전입니다,"{""lessonDate"":""2024-05-15"",""lessonTime"":""14:00 ~ 18:00""}",,0,46,,"2024-05-15 13:30:00.013841",MOBILE
598,7,강습이 예약되었습니다,"{""detail"":""5월 16일 08시 00분 지산리조트\n1:1 강습이 예약되었습니다"",""lessonDate"":""2024-05-16"",""lessonTime"":""08:00 ~ 10:00"",""resortName"":""지산리조트"",""studentCount"":""1"",""lessonType"":""스키""}",,1,35,,"2024-05-15 14:28:35.496016",MOBILE
600,7,강습이 예약되었습니다,"{""detail"":""5월 17일 14시 00분 지산리조트\n1:4 강습이 예약되었습니다"",""lessonDate"":""2024-05-17"",""lessonTime"":""14:00 ~ 18:00"",""resortName"":""지산리조트"",""studentCount"":""4"",""lessonType"":""스키""}",,1,14,,"2024-05-15 14:45:00.955145",MOBILE
603,7,강습이 예약되었습니다,"{""detail"":""5월 31일 19시 00분 곤지암리조트\n1:1 강습이 예약되었습니다"",""lessonDate"":""2024-05-31"",""lessonTime"":""19:00 ~ 21:00"",""resortName"":""곤지암리조트"",""studentCount"":""1"",""lessonType"":""스키""}",,1,35,,"2024-05-15 15:10:42.841369",MOBILE
606,7,강습이 예약되었습니다,"{""detail"":""5월 30일 08시 00분 곤지암리조트\n1:1 강습이 예약되었습니다"",""lessonDate"":""2024-05-30"",""lessonTime"":""08:00 ~ 10:00"",""resortName"":""곤지암리조트"",""studentCount"":""1"",""lessonType"":""스키""}",,1,35,,"2024-05-15 15:13:41.092413",MOBILE
609,7,강습이 예약되었습니다,"{""detail"":""5월 17일 12시 30분 곤지암리조트\n1:1 강습이 예약되었습니다"",""lessonDate"":""2024-05-17"",""lessonTime"":""12:30 ~ 14:30"",""resortName"":""곤지암리조트"",""studentCount"":""1"",""lessonType"":""스키""}",,1,35,,"2024-05-16 01:42:20.852228",MOBILE
612,7,강습이 예약되었습니다,"{""detail"":""5월 17일 08시 00분 곤지암리조트\n1:1 강습이 예약되었습니다"",""lessonDate"":""2024-05-17"",""lessonTime"":""08:00 ~ 10:00"",""resortName"":""곤지암리조트"",""studentCount"":""1"",""lessonType"":""스키""}",,1,35,,"2024-05-16 01:43:47.548142",MOBILE
613,6, 강습 예약 30분 전입니다,"{""lessonDate"":""2024-05-15"",""lessonTime"":""08:00 ~ 9:00""}",,0,113,,"2024-05-16 07:30:00.010441",MOBILE
615,7,강습이 예약되었습니다,"{""detail"":""5월 16일 14시 00분 곤지암리조트\n1:4 강습이 예약되었습니다"",""lessonDate"":""2024-05-16"",""lessonTime"":""14:00 ~ 18:00"",""resortName"":""곤지암리조트"",""studentCount"":""4"",""lessonType"":""스키""}",,1,14,,"2024-05-16 08:18:27.886814",MOBILE
616,6,강습 예약 30분 전입니다,"{""lessonDate"":""2024-05-15"",""lessonTime"":""09:00 ~ 13:00""}",,0,113,,"2024-05-16 08:30:00.010315",MOBILE
619,7,강습이 예약되었습니다,"{""detail"":""5월 20일 08시 00분 휘닉스 파크\n1:1 강습이 예약되었습니다"",""lessonDate"":""2024-05-20"",""lessonTime"":""08:00 ~ 9:00"",""resortName"":""휘닉스 파크"",""studentCount"":""1"",""lessonType"":""스키""}",,1,34,,"2024-05-16 08:41:22.641202",MOBILE
626,9,잘 보내지나? 테스트,테스트,,1,34,14,"2024-05-16 09:22:31.404915",MOBILE
628,9,다시 한 번,테스트,,1,34,14,"2024-05-16 09:24:41.911684",MOBILE
629,9,강사야 제발,테스트,,0,113,14,"2024-05-16 09:24:51.118408",MOBILE
631,7,강습이 예약되었습니다,"{""detail"":""5월 17일 08시 00분 지산리조트\n1:1 강습이 예약되었습니다"",""lessonDate"":""2024-05-17"",""lessonTime"":""08:00 ~ 10:00"",""resortName"":""지산리조트"",""studentCount"":""1"",""lessonType"":""스키""}",,1,35,,"2024-05-16 09:28:12.373218",MOBILE
634,7,강습이 예약되었습니다,"{""detail"":""5월 17일 08시 00분 지산리조트\n1:1 강습이 예약되었습니다"",""lessonDate"":""2024-05-17"",""lessonTime"":""08:00 ~ 10:00"",""resortName"":""지산리조트"",""studentCount"":""1"",""lessonType"":""스키""}",,1,35,,"2024-05-16 09:29:57.056612",MOBILE
635,9,강사님 제발 dm 가게 해주세요,ㅠㅠ,,0,113,14,"2024-05-16 09:30:48.139157",MOBILE
637,7,강습이 예약되었습니다,"{""detail"":""5월 17일 08시 00분 지산리조트\n1:1 강습이 예약되었습니다"",""lessonDate"":""2024-05-17"",""lessonTime"":""08:00 ~ 10:00"",""resortName"":""지산리조트"",""studentCount"":""1"",""lessonType"":""스키""}",,1,35,,"2024-05-16 09:31:38.596154",MOBILE
639,7,강습이 예약되었습니다,"{""detail"":""5월 17일 08시 00분 지산리조트\n1:1 강습이 예약되었습니다"",""lessonDate"":""2024-05-17"",""lessonTime"":""08:00 ~ 10:00"",""resortName"":""지산리조트"",""studentCount"":""1"",""lessonType"":""스키""}",,1,35,,"2024-05-16 09:32:44.758520",MOBILE
641,7,강습이 예약되었습니다,"{""detail"":""5월 17일 08시 00분 지산리조트\n1:1 강습이 예약되었습니다"",""lessonDate"":""2024-05-17"",""lessonTime"":""08:00 ~ 10:00"",""resortName"":""지산리조트"",""studentCount"":""1"",""lessonType"":""스키""}",,1,35,,"2024-05-16 09:33:55.433336",MOBILE
642,2,드가자,강사님 제발 dm 가게 해주세요,,0,113,14,"2024-05-16 09:34:57.416115",MOBILE
644,7,강습이 예약되었습니다,"{""detail"":""5월 17일 08시 00분 지산리조트\n1:1 강습이 예약되었습니다"",""lessonDate"":""2024-05-17"",""lessonTime"":""08:00 ~ 10:00"",""resortName"":""지산리조트"",""studentCount"":""1"",""lessonType"":""스키""}",,1,35,,"2024-05-16 09:35:19.744982",MOBILE
645,9,드가자,강사님 제발 dm 가게 해주세요,,0,113,14,"2024-05-16 09:37:31.987314",MOBILE
646,2,강습이 예약되었습니다,"{""lessonId"":207}",,0,113,,"2024-05-16 09:39:20.247883",MOBILE
648,7,강습이 예약되었습니다,"{""detail"":""5월 18일 08시 00분 지산리조트\n1:1 강습이 예약되었습니다"",""lessonDate"":""2024-05-18"",""lessonTime"":""08:00 ~ 10:00"",""resortName"":""지산리조트"",""studentCount"":""1"",""lessonType"":""스키""}",,1,35,,"2024-05-16 09:39:20.248066",MOBILE
649,9,쪽지 한 번만 보내줄 수 있지,강사님 제발 dm 가게 해주세요,,0,113,14,"2024-05-16 09:40:24.244049",MOBILE
650,9,쪽지 한 번만 보내줄 수 있지,강사님 제발 dm 가게 해주세요,,0,113,14,"2024-05-16 09:41:13.703480",MOBILE
651,9,테블릿에서 보내는 dm,허허허허허허,https://go-ski.s3.ap-northeast-2.amazonaws.com/notification/b5a857c2-a287-4eb5-8a20-b75cc0333880.jpg,1,34,14,"2024-05-16 09:57:16.006210",MOBILE
652,2,강습이 예약되었습니다,"{""lessonId"":208}",,0,113,,"2024-05-16 09:57:40.576819",MOBILE
654,7,강습이 예약되었습니다,"{""detail"":""5월 18일 12시 00분 곤지암리조트\n1:3 강습이 예약되었습니다"",""lessonDate"":""2024-05-18"",""lessonTime"":""12:00 ~ 14:00"",""resortName"":""곤지암리조트"",""studentCount"":""3"",""lessonType"":""스키""}",,0,15,,"2024-05-16 09:57:40.577000",MOBILE
655,2,강습이 예약되었습니다,"{""lessonId"":209}",,0,113,,"2024-05-16 09:59:24.691262",MOBILE
657,7,강습이 예약되었습니다,"{""detail"":""5월 31일 08시 00분 지산리조트\n1:1 강습이 예약되었습니다"",""lessonDate"":""2024-05-31"",""lessonTime"":""08:00 ~ 10:00"",""resortName"":""지산리조트"",""studentCount"":""1"",""lessonType"":""스키""}",,1,35,,"2024-05-16 09:59:24.691445",MOBILE
658,9,쪽지 삽가능,강사님 제발 dm 가게 해주세요,,0,113,14,"2024-05-16 10:48:07.562146",MOBILE
659,9,쪽지 삽가능,강사님 제발 dm 가게 해주세요,,1,14,14,"2024-05-16 10:48:47.007780",MOBILE
660,9,쪽지 삽가능,강사님 제발 dm 가게 해주세요,,0,113,14,"2024-05-16 10:49:47.674561",MOBILE
661,9,제발 가게 해주세요 dmdmdm,강사님 제발 dm 가게 해주세요,,1,14,14,"2024-05-16 10:50:12.316434",MOBILE
662,9,제발 가게 해주세요 dmdmdm,강사님 제발 dm 가게 해주세요,,0,129,14,"2024-05-16 11:14:22.931089",MOBILE
663,6,강습 예약 30분 전입니다,"{""lessonDate"":""2024-05-16"",""lessonTime"":""13:00 ~ 16:00""}",,0,113,,"2024-05-16 12:30:00.065814",MOBILE
664,3,강습이 취소되었습니다,"{""lessonDate"":""2024-05-26"",""lessonTime"":""08:00 ~ 9:00""}",,0,113,,"2024-05-16 12:32:46.150023",MOBILE
666,2,강습이 예약되었습니다,"{""lessonId"":211}",,0,124,,"2024-05-16 12:32:52.008320",MOBILE
668,7,강습이 예약되었습니다,"{""detail"":""5월 31일 08시 00분 곤지암리조트\n1:1 강습이 예약되었습니다"",""lessonDate"":""2024-05-31"",""lessonTime"":""08:00 ~ 10:00"",""resortName"":""곤지암리조트"",""studentCount"":""1"",""lessonType"":""스키""}",,1,130,,"2024-05-16 12:32:52.010055",MOBILE
671,7,강습이 예약되었습니다,"{""detail"":""5월 30일 08시 00분 지산리조트\n1:1 강습이 예약되었습니다"",""lessonDate"":""2024-05-30"",""lessonTime"":""08:00 ~ 10:00"",""resortName"":""지산리조트"",""studentCount"":""1"",""lessonType"":""스키""}",,1,130,,"2024-05-16 12:34:12.430321",MOBILE
674,3,강습이 취소되었습니다,"{""lessonDate"":""2024-05-31"",""lessonTime"":""08:00 ~ 10:00""}",,0,124,,"2024-05-16 12:35:48.131289",MOBILE
676,2,강습이 예약되었습니다,"{""lessonId"":213}",,0,113,,"2024-05-16 12:37:17.653205",MOBILE
678,7,강습이 예약되었습니다,"{""detail"":""5월 31일 08시 00분 곤지암리조트\n1:1 강습이 예약되었습니다"",""lessonDate"":""2024-05-31"",""lessonTime"":""08:00 ~ 10:00"",""resortName"":""곤지암리조트"",""studentCount"":""1"",""lessonType"":""보드""}",,1,130,,"2024-05-16 12:37:17.653448",MOBILE
