"instructor_id","description","is_instruct_available","dayoff"
72,[Web발신] 너는나를존중해야한다나는발롱도르5개와수많은개인트로피를들어올렸으며2016유로에서포르투갈을이끌고우승을차지했고동시에A매치역대최다득점자이다또한챔스역대최다득점자이자5번이나우승을차지한레알마드리드의상징이다..더보기,"1111111",0
73,요즘 맨유 예전에 비해 정말 못합니다. 제가 맨체스터에 있을 때는...,"1110110",0
74,맨체스터 시티 팀 최고 미남 강사 홀란드입니다.,"1111111",0
75,안녕하세요. 보드도사 김덕배 강사입니다. 스키도 가끔 탑니다,"1111001",0
76,맨체스터 시티 팀 그릴리쉬 강사입니다.,"1111001",0
77,안녕하세요. 야야투레입니다. 웨스트햄은 100% 아니다. 프리미어리그 꼴등은 투레와 어울리지 않는다.,"1110101",0
78,레알 마드리드 팀 모드리치 강사입니다. 탈압박의 귀재입니다.,"1111111",0
79,카카 강사입니다. 꿈의 팀에 오게되어서 너무 기쁩니다. 밀란 팀에서만큼 열심히 하겠습니다.,"1110110",0
80,레알 마드리드 팀 강사 라모스입니다. 여기서 잘해서 세비야로 가겠습니다.,"1110101",0
82,안녕하세요. 리춘수 강사입니다. 여기서 잘해서 레알 마드리드 스키장으로 가겠습니다,"1110101",0
113,준석 강사 자기소개입니다. 여기서 잘해서 더 좋은 곳으로 가겠스빈다,"1110101",0
114,인의라는 이름의 정의는 멸하지 않는다!!,"1010011",0
115,해적이라는 '악'을 용납치 마라!!! 하려면 철저하게!'악'은 그 가능성부터 뿌리를 뽑아야 해!!,"1010010",0
116,"네가 태어나기 훨씬 전부터, 난 해적들과 싸워왔지! 여기를 지나가고 싶다면 날 죽이고서라도 지나가라! '밀짚모자 루피'! 그것이 너희가 선택한 길이다! 못하면 에이스는 죽을 뿐이다! 원하지 않는 일이야 얼마든지 일어나지! 난 봐주지 않겠다! 루피 너를, 적으로 간주한다!","1010010",0
117,그마아아안~~~~!!!! 이제 멈추자구요!!! 여기서 그만 싸움을!!! 멈추자구요!!! 생명이 아까워!!! 목적은 이미 이루었음에도···!!!전의가 없는 해적을 뒤쫓으며···!!! 멈출 수 있는 전쟁에 욕심을 내고············!! 지금 치료하면 살 수 있는 병사를 내버려 둔 채···!!! 지금보다 더 희생자를 늘리다니. 앞으로 쓰러져갈 병사들은·········!!! 완전히!!! 바보 천치 아니겠습니까?!!,"1010001",0
118,스키 의문을 던지는 것이 스키의 명예를 실추시키는 것은 아닌지를 묻는 것의 여부를 지각해도 되는지에 대해 인지할 자격이 본 해병에게 있는지 의문을 던지는 것이 스키 의 명예를 실추시키는 것은 아닌지를 감히 제가 알아도 되겠습니까?,"1010001",0
119,안녕하세요~ ILLIT의 행복을 책임지는 분위기 메이커 윤아입니다!,"1101100",0
120,안녕하세요~ 어떤 어려운 순간에도 긍정을 잃지 않는 ILLIT의 긍정왕 민주입니다!,"1101000",0
121,"안녕하세요, 멤버들 사이에 중심을 지키고 있는 ILLIT의 밸런스 모카입니다!","1101000",0
122,"안녕하세요, 얼굴도 동글 눈도 동글 ILLIT의 동그라미! 원희입니다~","1100100",0
123,안녕하세요~ 16살! ILLIT의 사랑스러운 막내 이로하입니다!,"1100100",0
124,고승민 강사입니다.,"1110011",0
137,,"1010010",0
