"review_id","lesson_id","contents","rating","created_at"
84,101,제가 들었던 강습 중 최고였어요,4,"2024-05-15 16:23:38.268360"
85,104,제가 들었던 강습 중 최고였어요,4,"2024-05-15 16:23:56.006463"
86,105,제가 들었던 강습 중 최고였어요,5,"2024-05-15 16:24:03.413262"
87,105,또 듣고 싶어요,5,"2024-05-15 16:24:10.146476"
88,106,또 듣고 싶어요,4,"2024-05-15 16:24:41.645797"
89,107,최고의 강의였어요,4,"2024-05-15 16:25:00.646453"
90,107,기억에 남을 만한 좋은 강습이었습니다. 최고에요,5,"2024-05-15 16:25:23.463296"
91,109,기억에 남을 만한 좋은 강습이었습니다. 최고에요,5,"2024-05-15 16:25:29.629457"
92,109,다른 분들에게도 추천해드리고 싶습니다. 이 팀 강사 님께 꼭 들으세요,5,"2024-05-15 16:25:47.717813"
93,110,다른 분들에게도 추천해드리고 싶습니다. 이 팀 강사 님께 꼭 들으세요,5,"2024-05-15 16:25:53.321178"
94,110,좋았어요,4,"2024-05-15 16:26:00.530151"
95,111,좋았어요,4,"2024-05-15 16:26:08.762312"
96,111,다른 분들에게도 추천해드리고 싶습니다. 이 팀 강사 님께 꼭 들으세요,5,"2024-05-15 16:26:13.837035"
97,112,다른 분들에게도 추천해드리고 싶습니다. 이 팀 강사 님께 꼭 들으세요,5,"2024-05-15 16:26:19.580925"
98,112,이해가 쏙쏙되는 강의였어요,4,"2024-05-15 16:26:32.133492"
99,147,이해가 쏙쏙되는 강의였어요,4,"2024-05-15 16:26:40.528224"
100,147,다른 분들에게도 추천해드리고 싶습니다. 이 팀 강사 님께 꼭 들으세요,5,"2024-05-15 16:26:50.781103"
101,147,저의 스키 강습의 역사는 이 분을 만나기 전과 후로 나뉩니다.,5,"2024-05-15 16:27:10.294588"
102,148,저의 스키 강습의 역사는 이 분을 만나기 전과 후로 나뉩니다.,4,"2024-05-15 16:31:04.665960"
103,148,좋았어요.,5,"2024-05-15 16:31:11.085444"
104,150,좋았어요.,5,"2024-05-15 16:31:48.427491"
105,150,이해가 쏙쏙되는 강의였어요,4,"2024-05-15 16:31:49.231377"
106,151,저의 스키 강습의 역사는 이 분을 만나기 전과 후로 나뉩니다.,5,"2024-05-15 16:31:50.005074"
107,151,이해가 쏙쏙되는 강의였어요,4,"2024-05-15 16:31:50.751808"
108,152,좋았어요.,5,"2024-05-15 16:31:51.424691"
109,152,좋았어요.,5,"2024-05-15 16:31:52.069918"
110,153,저의 스키 강습의 역사는 이 분을 만나기 전과 후로 나뉩니다.,4,"2024-05-15 16:31:52.690936"
111,153,다른 분들에게도 추천해드리고 싶습니다. 이 팀 강사 님께 꼭 들으세요,5,"2024-05-15 16:31:53.272207"
112,154,저의 스키 강습의 역사는 이 분을 만나기 전과 후로 나뉩니다.,5,"2024-05-15 16:31:53.889174"
113,154,좋았어요.,4,"2024-05-15 16:31:54.552775"
114,155,저의 스키 강습의 역사는 이 분을 만나기 전과 후로 나뉩니다.,5,"2024-05-15 16:31:55.175094"
115,155,다른 분들에게도 추천해드리고 싶습니다. 이 팀 강사 님께 꼭 들으세요,5,"2024-05-15 16:31:55.761455"
116,156,다른 분들에게도 추천해드리고 싶습니다. 이 팀 강사 님께 꼭 들으세요,5,"2024-05-15 16:32:44.463077"
117,156,저의 스키 강습의 역사는 이 분을 만나기 전과 후로 나뉩니다.,5,"2024-05-15 16:32:45.038564"
118,157,좋았어요.,5,"2024-05-15 16:32:45.853423"
119,157,저의 스키 강습의 역사는 이 분을 만나기 전과 후로 나뉩니다.,5,"2024-05-15 16:32:46.597778"
120,158,다른 분들에게도 추천해드리고 싶습니다. 이 팀 강사 님께 꼭 들으세요,5,"2024-05-15 16:32:47.344484"
121,158,좋았어요.,4,"2024-05-15 16:32:48.032709"
122,159,다른 분들에게도 추천해드리고 싶습니다. 이 팀 강사 님께 꼭 들으세요,5,"2024-05-15 16:32:48.698973"
123,159,저의 스키 강습의 역사는 이 분을 만나기 전과 후로 나뉩니다.,4,"2024-05-15 16:32:49.434422"
124,160,이해가 쏙쏙되는 강의였어요,5,"2024-05-15 16:32:49.997880"
125,160,좋았어요.,5,"2024-05-15 16:32:50.736804"
126,177,저의 스키 강습의 역사는 이 분을 만나기 전과 후로 나뉩니다.,4,"2024-05-15 16:32:51.390982"
127,177,다른 분들에게도 추천해드리고 싶습니다. 이 팀 강사 님께 꼭 들으세요,5,"2024-05-15 16:32:51.993131"
128,178,좋았어요.,5,"2024-05-15 16:32:52.710750"
129,178,저의 스키 강습의 역사는 이 분을 만나기 전과 후로 나뉩니다.,4,"2024-05-15 16:32:53.307428"
130,182,다른 분들에게도 추천해드리고 싶습니다. 이 팀 강사 님께 꼭 들으세요,5,"2024-05-15 16:32:53.991646"
131,182,좋았어요.,4,"2024-05-15 16:32:54.683966"
132,185,다른 분들에게도 추천해드리고 싶습니다. 이 팀 강사 님께 꼭 들으세요,5,"2024-05-15 16:32:55.399075"
133,185,저의 스키 강습의 역사는 이 분을 만나기 전과 후로 나뉩니다.,5,"2024-05-15 16:32:56.113160"
156,105,저의 스키 강습의 역사는 이 분을 만나기 전과 후로 나뉩니다.,5,"2024-05-16 08:01:55.892995"
157,105,좋았어요.,4,"2024-05-16 08:01:56.628886"
158,105,다른 분들에게도 추천해드리고 싶습니다. 이 팀 강사 님께 꼭 들으세요,5,"2024-05-16 08:01:57.362694"
159,106,완전 굿굿,4,"2024-05-16 08:02:03.354118"
160,106,다른 분들에게도 추천해드리고 싶습니다. 이 팀 강사 님께 꼭 들으세요,5,"2024-05-16 08:02:03.996239"
161,106,이해가 쏙쏙되는 강의였어요,5,"2024-05-16 08:02:04.676927"
162,186,좋았어요.,4,"2024-05-16 08:02:11.010155"
163,186,다른 분들에게도 추천해드리고 싶습니다. 이 팀 강사 님께 꼭 들으세요,5,"2024-05-16 08:02:11.704815"
164,186,저의 스키 강습의 역사는 이 분을 만나기 전과 후로 나뉩니다.,5,"2024-05-16 08:02:12.307238"
165,187,좋았어요.,4,"2024-05-16 08:02:16.153745"
166,187,저의 스키 강습의 역사는 이 분을 만나기 전과 후로 나뉩니다.,5,"2024-05-16 08:02:16.743956"
167,187,다른 분들에게도 추천해드리고 싶습니다. 이 팀 강사 님께 꼭 들으세요,5,"2024-05-16 08:02:17.377083"
168,188,다른 분들에게도 추천해드리고 싶습니다. 이 팀 강사 님께 꼭 들으세요,5,"2024-05-16 08:04:04.288993"
169,188,이해가 쏙쏙되는 강의였어요,4,"2024-05-16 08:04:04.894491"
170,188,좋았어요.,4,"2024-05-16 08:04:05.492088"
171,184,다른 분들에게도 추천해드리고 싶습니다. 이 팀 강사 님께 꼭 들으세요,5,"2024-05-16 08:10:00.053212"
172,184,저의 스키 강습의 역사는 이 분을 만나기 전과 후로 나뉩니다.,5,"2024-05-16 08:10:00.690283"
173,184,좋았어요.,4,"2024-05-16 08:10:01.338913"
174,180,저의 스키 강습의 역사는 이 분을 만나기 전과 후로 나뉩니다.,5,"2024-05-16 08:10:54.586876"
175,180,다른 분들에게도 추천해드리고 싶습니다. 이 팀 강사 님께 꼭 들으세요,5,"2024-05-16 08:10:55.087501"
176,180,좋았어요.,4,"2024-05-16 08:10:55.665124"
177,117,최고에요,5,"2024-05-16 08:12:56.413524"
178,117,다른 분들에게도 추천해드리고 싶습니다. 이 팀 강사 님께 꼭 들으세요,5,"2024-05-16 08:12:56.984439"
179,117,저의 스키 강습의 역사는 이 분을 만나기 전과 후로 나뉩니다.,5,"2024-05-16 08:12:57.631735"
180,107,좋았어요.,4,"2024-05-16 08:14:20.147793"
181,107,저의 스키 강습의 역사는 이 분을 만나기 전과 후로 나뉩니다.,5,"2024-05-16 08:14:32.414763"
182,107,다른 분들에게도 추천해드리고 싶습니다. 이 팀 강사 님께 꼭 들으세요,5,"2024-05-16 08:14:32.866353"
183,107,이해가 쏙쏙되는 강의였어요,5,"2024-05-16 08:14:33.996564"
184,135,좋았어요.,4,"2024-05-16 08:15:35.388979"
185,135,이해가 쏙쏙되는 강의였어요,5,"2024-05-16 08:15:35.949709"
186,135,다른 분들에게도 추천해드리고 싶습니다. 이 팀 강사 님께 꼭 들으세요,5,"2024-05-16 08:15:36.559618"
187,135,저의 스키 강습의 역사는 이 분을 만나기 전과 후로 나뉩니다.,5,"2024-05-16 08:15:38.617160"
188,189,저의 스키 강습의 역사는 이 분을 만나기 전과 후로 나뉩니다.,5,"2024-05-16 08:26:37.159759"
189,189,이해가 쏙쏙되는 강의였어요,5,"2024-05-16 08:26:37.701358"
190,189,완전 굿굿,4,"2024-05-16 08:26:38.238843"
191,189,다른 분들에게도 추천해드리고 싶습니다. 이 팀 강사 님께 꼭 들으세요,5,"2024-05-16 08:26:38.702241"
192,192,저의 스키 강습의 역사는 이 분을 만나기 전과 후로 나뉩니다.,5,"2024-05-16 08:26:47.047873"
193,192,이해가 쏙쏙되는 강의였어요,5,"2024-05-16 08:26:47.574495"
194,192,다른 분들에게도 추천해드리고 싶습니다. 이 팀 강사 님께 꼭 들으세요,5,"2024-05-16 08:26:48.009837"
195,192,완전 굿굿,4,"2024-05-16 08:26:48.463502"
196,193,저의 스키 강습의 역사는 이 분을 만나기 전과 후로 나뉩니다.,5,"2024-05-16 08:26:56.470808"
197,193,이해가 쏙쏙되는 강의였어요,5,"2024-05-16 08:26:56.943342"
198,193,다른 분들에게도 추천해드리고 싶습니다. 이 팀 강사 님께 꼭 들으세요,5,"2024-05-16 08:26:57.427456"
199,193,완전 굿굿,5,"2024-05-16 08:26:57.885922"
200,194,저의 스키 강습의 역사는 이 분을 만나기 전과 후로 나뉩니다.,5,"2024-05-16 08:27:01.860880"
201,194,이해가 쏙쏙되는 강의였어요,5,"2024-05-16 08:27:02.409453"
202,194,다른 분들에게도 추천해드리고 싶습니다. 이 팀 강사 님께 꼭 들으세요,5,"2024-05-16 08:27:02.865690"
203,195,완전 굿굿,4,"2024-05-16 08:27:05.904160"
204,195,저의 스키 강습의 역사는 이 분을 만나기 전과 후로 나뉩니다.,5,"2024-05-16 08:27:06.452687"
205,195,다른 분들에게도 추천해드리고 싶습니다. 이 팀 강사 님께 꼭 들으세요,5,"2024-05-16 08:27:06.869581"
206,195,이해가 쏙쏙되는 강의였어요,5,"2024-05-16 08:27:07.244092"
207,196,저의 스키 강습의 역사는 이 분을 만나기 전과 후로 나뉩니다.,5,"2024-05-16 08:27:10.217985"
208,196,이해가 쏙쏙되는 강의였어요,5,"2024-05-16 08:27:10.840647"
209,196,오호홍 좋아용,5,"2024-05-16 08:27:11.320926"
210,196,완전 굿굿,4,"2024-05-16 08:27:11.788530"
211,197,완전 굿굿,4,"2024-05-16 09:52:38.422388"
212,197,다른 분들에게도 추천해드리고 싶습니다. 이 팀 강사 님께 꼭 들으세요,5,"2024-05-16 09:52:39.200401"
213,197,저의 스키 강습의 역사는 이 분을 만나기 전과 후로 나뉩니다.,5,"2024-05-16 09:52:43.444269"
214,197,이해가 쏙쏙되는 강의였어요,5,"2024-05-16 09:52:44.155342"
215,197,좋았어요.,4,"2024-05-16 09:52:44.895787"
218,161,더더잦,5,"2024-05-16 12:50:53.614008"
219,138,떠더다ㅓ더덛다다댜다쟈자자자자자자자자쟈자ㅏ아아아앙여어자짜자쟈쨔야땯어어어여엉도도오ㅓ어엉어어어어여어어옹요어오오요용오오요요ㅗ33더엉영어어어어여어어오오아여아2929ㅐ애애애애앵오오오오오오오요오오오요오오요오애요요오용ㅇ,5,"2024-05-16 12:52:15.612971"
