"lesson_id","lesson_date","start_time","lesson_type","student_count","request_complain","lesson_status","duration"
150,"2024-05-29 00:00:00","1300","1010011",1,,0,2
151,"2024-05-29 00:00:00","1500","1010010",1,,0,2
152,"2024-05-29 00:00:00","1500","1010010",1,,0,2
153,"2024-05-29 00:00:00","1500","1010000",1,,0,2
154,"2024-05-30 00:00:00","0800","1010010",1,,0,2
155,"2024-05-27 00:00:00","0800","1010000",1,,2,2
156,"2024-05-22 00:00:00","0800","1010011",1,,0,2
157,"2024-05-22 00:00:00","0800","1010000",1,,0,2
158,"2024-05-14 00:00:00","1100","1010010",1,,0,2
159,"2024-05-14 00:00:00","1430","1010010",1,,0,2
160,"2024-05-14 00:00:00","0800","1010000",1,,0,1
161,"2024-05-14 00:00:00","0800","1010000",1,,0,1
162,"2024-05-15 00:00:00","0800","1010000",1,,0,1
163,"2024-05-15 00:00:00","1300","1010000",1,,0,2
164,"2024-05-16 00:00:00","1300","1010000",1,,0,3
165,"2024-05-17 00:00:00","1400","1010000",1,,0,4
166,"2024-05-18 00:00:00","1000","1010000",1,,0,1
167,"2024-05-19 00:00:00","0900","1010000",1,,0,2
168,"2024-05-21 00:00:00","0900","1010000",1,,0,5
169,"2024-05-22 00:00:00","1000","1010000",1,,0,3
170,"2024-05-24 00:00:00","1200","1010000",1,,0,3
171,"2024-05-25 00:00:00","1000","1010000",1,,0,2
172,"2024-05-26 00:00:00","0900","1010000",1,,0,5
173,"2024-05-27 00:00:00","1000","1010000",1,,0,3
174,"2024-05-23 00:00:00","1600","1010000",1,,0,3
175,"2024-05-26 00:00:00","0800","1010000",1,,2,1
176,"2024-05-15 00:00:00","1000","1010000",2,,0,2
177,"2024-05-15 00:00:00","0800","1010000",1,,0,2
178,"2024-05-16 00:00:00","0800","1010010",2,,0,2
179,"2024-05-16 00:00:00","0800","1010011",4,,0,6
180,"2024-06-03 00:00:00","0800","1010000",1,,0,2
182,"2024-05-16 00:00:00","0800","1010000",1,,0,2
184,"2024-05-17 00:00:00","1400","1010000",4,,0,4
185,"2024-05-31 00:00:00","1900","1010011",1,,0,2
186,"2024-05-30 00:00:00","0800","1010011",1,,0,2
187,"2024-05-17 00:00:00","1230","1010000",1,,0,2
188,"2024-05-17 00:00:00","0800","1010010",1,,0,2
189,"2024-05-15 00:00:00","1400","1010000",4,,0,4
192,"2024-05-15 00:00:00","1400","1010000",4,,0,4
193,"2024-05-16 00:00:00","0800","1010000",4,,0,4
194,"2024-05-16 00:00:00","1400","1010000",4,,0,4
195,"2024-05-16 00:00:00","1400","1010000",4,,0,4
196,"2024-05-16 00:00:00","1400","1010000",4,,0,4
197,"2024-05-16 00:00:00","1400","1010000",4,,0,4
198,"2024-05-20 00:00:00","0800","1010000",1,,0,1
199,"2024-05-27 00:00:00","0800","1010000",1,,0,2
200,"2024-05-27 00:00:00","0800","1010011",1,,0,6
201,"2024-05-17 00:00:00","0800","1010000",1,,0,2
202,"2024-05-17 00:00:00","0800","1010000",1,,0,2
203,"2024-05-17 00:00:00","0800","1010000",1,,0,2
204,"2024-05-17 00:00:00","0800","1010000",1,,0,2
205,"2024-05-17 00:00:00","0800","1010000",1,,0,2
206,"2024-05-17 00:00:00","0800","1010000",1,,0,2
207,"2024-05-18 00:00:00","0800","1010000",1,,0,2
208,"2024-05-18 00:00:00","1200","1010000",3,,0,2
209,"2024-05-31 00:00:00","0800","1010000",1,,0,2
211,"2024-05-31 00:00:00","0800","1010000",1,,2,2
212,"2024-05-30 00:00:00","0800","1010010",1,,2,2
213,"2024-05-31 00:00:00","0800","1100000",1,,0,2
214,"2024-05-31 00:00:00","0800","1010000",3,,0,2
215,"2024-05-23 00:00:00","1130","1010011",3,,0,2
216,"2024-05-31 00:00:00","0800","1100000",1,,0,2
217,"2024-05-18 00:00:00","0800","1010000",1,,2,2
218,"2024-05-18 00:00:00","0800","1010000",2,,0,2
219,"2024-05-18 00:00:00","0800","1010000",1,,0,2
220,"2024-05-17 00:00:00","1300","1010000",1,,0,1
221,"2024-05-17 00:00:00","1500","1010000",1,,0,2
